"site","service","id","is_active","type","desc","category","security_app","info0","info1","attr0","attr1","attr2","attr3","attr4","attr5","attr6","attr7","attr8","attr9","attr10","attr11","attr12","attr13","attr14","attr15","attr16","attr17","attr18","attr19","attr20","attr21","attr22","attr23","attr24","attr25","attr26","attr27","attr28","attr29","attr30","attr31","attr32","attr33","attr34","attr35","attr36","attr37","attr38","attr39","comment","table0","table1","table2","table3","table4","table5","table6","table7","table8","table9","table10","table11","table12","table13","table14","table15","table16","table17","table18","table19","table20","table21","table22","table23","table24","table25","table26","table27","table28","table29","table30","table31","table32","table33","table34","table35","table36","table37","table38","table39","table40","table41","table42","table43","table44","table45","table46","table47","table48","table49","table50","table51","table52","table53","table54","table55","table56","table57","table58","table59","yes_no0","yes_no1","yes_no2","yes_no3","yes_no4","yes_no5","yes_no6","yes_no7","yes_no8","yes_no9","yes_no10","yes_no11","yes_no12","yes_no13","yes_no14","yes_no15","yes_no16","yes_no17","yes_no18","yes_no19"
TEXAS,UIS,ARNETT_SWD_PMP2,Y,TOWSCADA,Arnett North SWD Charge Pump 2,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,,84036,METER,PUMP,WTR,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_PMP3,Y,TOWSCADA,Arnett South SWD Inlet Pump 1,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,,84036,METER,PUMP,WTR,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_PMP4,Y,TOWSCADA,Arnett North SWD Inlet Pump 2,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,,84036,METER,PUMP,WTR,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_WT1,Y,TOWSCADA,Arnett SWD Wtr Tank 1,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,ARNETT_SD,WaterTank1,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,SWD,84036,TANK,,WTR,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_WT2,Y,TOWSCADA,Arnett SWD Wtr Tank 2,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,ARNETT_SD,WaterTank2,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,SWD,84036,TANK,,WTR,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,ARNETT_SWD_WT3,Y,TOWSCADA,Arnett SWD Wtr Tank 3,DDSFAC,,,Poll,,,ARNETT_SD,,,,,,,,,,,,,,,,,,,,,,,,,ARNETT_SD,WaterTank3,,,,,,,,,,,,,TX,CAVALIER,LONE DRAW,SWD,84036,TANK,,WTR,,,,71534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,BARNAYRD_HE_SWD,Y,GENFAC,Barnyard to HE SWD,GENFAC,,,,43733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNE2,SWD,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,BARNAYRD_MTN_SWD,Y,GENFAC,Barnyard to MTN SWD,GENFAC,,,,43633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TX,BARNHART,BARNW1,SWD,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,BARNHART,Y,GENFAC,Barnhart Ethernet communication,GENFAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,BARNHART_1,Y,GENFAC,Barnhart Ethernet communication,GENFAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,BARNHART_2,Y,GENFAC,Barnhart Ethernet communication,GENFAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,BARNHART_E1,Y,COMMDEV,Barnhart East 1 Route,COMMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
TEXAS,UIS,BARNHART_E1_ALT,Y,COMMDEV,Barnhart East 1 Route Alternate,COMMDEV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
